,Class,Subclass,Condena,Location,Victims,Date murder,Date Detention,Victim Profile
103,Asesino en masa,Tiroteo en universidad - Venganza,Se suicidó el mismo día disparándose en la cara,"Blacksburg, Estados Unidos (Virginia)",32,16 de abril de 2007,18 de enero de 1984,"Ryan Clark, 22 / Emily Hilscher, 19 / Minal Panchal, 26 / G. V. Loganathan, 53 / Jarrett Lane, 22 / Brian Bluhm, 25 / Matthew Gwaltney, 24 / Jeremy Herbstritt, 27 / Partahi Lumbantoruan, 34 / Daniel O'Neil, 22 / Juan Ortiz, 26 / Julia Pryde, 23 / Waleed Shaalan, 32 / Jamie Bishop, 35 / Lauren McCain, 20 / Michael Pohle Jr., 23 / Maxine Turner, 22 / Nicole White, 20 / Liviu Librescu, 76 / Jocelyne Couture-Nowak, 49 / Ross Alameddine, 20 / Austin Cloyd, 18 / Daniel Perez Cueva, 21 / Caitlin Hammaren, 19 / Rachael Hill, 18 / Matthew La Porte, 20 / Henry Lee, 20 / Erin Peterson, 18 / Mary Karen Read, 19 / Reema Samaha, 18 / Leslie Sherman, 20 / Kevin Granata, 45"
104,Asesino en serie,Necrofilia,Ejecutado en la horca el 15 de julio de 1953,"Londres, Inglaterra, Gran Bretaña",8,1943 - 1953,31 de marzo de 1953,8 de abril de 1898
105,Homicida,Abusos deshonestos,Condenado a 16 años de prisión por un delito de homicidio y a un año de prisión por abusos deshonestos el 21 de noviembre de 1986. La condena fue aumentada en 4 años más de prisión el 23 de noviembre de 1987,"Punta Umbría, Huelva, España",1,24 de octubre de 1985,4 de diciembre de 1985,"María del Carmen Carretero Gómez, 9"
106,Asesino,"Canibalismo - «Lo hice por curiosidad. Quería saber qué gusto tenía la carne humana. La preparé con un poco de cebolla y arroz. Y me lo comí. Tenía buen gusto. La carne humana es suave, como la carne de ciervo. Hice lo que me gustaba...»","Condenado a 30 años de cárcel por asesinato el 24 de junio de 2010. Unos meses más tarde, el 16 de febrero de 2011, fue declarado culpable de un intento de violación en 2006 y sentenciado a 10 años de prisión","Rouen, Francia",1,2 de enero de 2007,1971,"Thierry Baudry, de 31 años (su compañero de celda)"
107,Asesino en serie,Secuestros - Violaciones - Asaltos armados,Fue ejecutado por inyección letal en Ohio el 26 de abril de 2002,"Varios, Estados Unidos (Illinois), Estados Unidos (Indiana), Estados Unidos (Ohio)",8,Mayo - Julio de 1984,20 de julio de 1984,6 de noviembre de 1955
108,Asesino itinerante,Mató a siete personas en cinco días,Muerto por la Policía el 21 de junio de 1995,"Varias, Estados Unidos (Nueva Jersey), Estados Unidos (Nueva York)",7,17-21 de junio de 1995,1961,2 mujeres y 5 hombres
109,Asesino,Violador - Fetichista,Fue ejecutado en la cárcel de Durbam el 28 de octubre de 1942,"Newcastle, Inglaterra, Gran Bretaña",1,12 de junio de 1942,"Margaret Mary Rice, de 24 años",Golpes con un revólver
110,Asesino en serie,Constanzo dirigía una secta que tenía vinculación con el narcotráfico y practicaba sacrificios humanos,"El 6 de mayo de 1989, Constanzo ordenó a uno de los integrantes de la secta que le matara","Matamoros, México",16 +,1986 - 1989,1 de noviembre de 1962,Hombres
111,Asesino,Violador,Ejecutado en la cámara de gas el 31 de enero de 1941,"Los Ángeles, Estados Unidos (California)",1,24 de febrero de 1939,28 de agosto de 1939,1920
112,Asesino en serie,Asesino en serie inusual cuyos métodos eran tan aleatorios como la elección de sus víctimas,Ejecutado en la horca el 26 de octubre de 1964,"Perth, Australia",6 +,1959 / 1963,1 de septiembre de 1963,1931
113,Asesino,La víctima quería casarse,Ejecutado en la horca el 11 de agosto de 1828,"Polstead, Suffolk, Inglaterra, Gran Bretaña",1,18 de mayo de 1827,1803,"Su amante, Maria Marten, de 26 años"
114,Asesino en serie,Violador,Condenado a 25 cadenas perpetuas en enero de 1973. Fallecido cumpliendo condena el 4 de marzo de 2019,"Yuba City, Estados Unidos (California)",25,1960-1971,Mayo 1971,"Autlán, Jalisco; 7 de febrero de 1934-Corcoran, California; 4 de marzo de 2019"
115,Asesino en serie,Pedofilia - Necrofilia - Afirmó que bebía la sangre de sus víctimas para llegar a ser tan hermoso como ellas,"Declarado mentalmente insano el 26 de abril de 1993, fue internado en el Hospital Psiquiátrico Heitor Carrilho, de donde escapó el 24 de enero de 1997. Fue detenido de nuevo en Ceará el 5 de febrero de 1997","Río de Janeiro, Brasil",14 +,Abril - Diciembre 1991,18 de diciembre de 1991,2 de enero de 1967
116,Asesino en serie,Envenenador,Fue ejecutado en la horca el 15 de noviembre de 1892,"Varias, Estados Unidos (Illinois), Gran Bretaña",5 +,1881 / 1891-1892,13 de julio de 1892,27 de mayo de 1850
117,Asesino,Envenenador - Parricida,Fue ejecutado en la horca en la prisión de Pentonville el 23 de noviembre de 1910,"Londres, Inglaterra, Gran Bretaña",1,31 de enero de 1910,31 de julio de 1910,11 de septiembre de 1862
118,Asesino,Parricida,Condenado a 34 años de prisión el 16 de septiembre de 2015,"Cervo, Lugo, España",2,13 de enero de 2014,Día siguiente,1961
119,Asesino,Venganza,Condenado a 59 años de cárcel el 10 de abril de 2014. Murió de cáncer en prisión en noviembre de 2014,"Barcelona, España",3,27 de enero de 2012,24 de febrero de 2012,1949
120,Asesino en serie,"Durante los interrogatorios, Cullen afirmó que le quitó la vida a sus pacientes porque eran personas que ya necesitaban morir",Condenado a once cadenas perpetuas en Nueva Jersey y a otras siete cadenas perpetuas en Pensilvania,"Varias, Estados Unidos (Nueva Jersey), Estados Unidos (Pensilvania)",29 - 45,1988 - 2003,14 de diciembre de 2003,22 de febrero de 1960
121,Asesino en serie,Violación - Tortura - Mutilación,Condenado a 25 años en prisión en mayo de 2004,"Quito, Ecuador",9,2002 - 2003,18 de agosto de 2003,1971
122,Asesino itinerante,Mutilación,Fue ejecutado en la horca en la prisión de Wandsworth el 25 de junio de 1942,"Londres, Inglaterra, Gran Bretaña",4,8-12 de febrero de 1942,16 de febrero de 1942,1914
123,Asesino itinerante,Prostituto homosexual - Los motivos de los asesinatos son desconocidos,Se suicida disparándose en la cabeza en Miami el 23 de julio de 1997,"Varias, Estados Unidos (Florida), Estados Unidos (Illinois), Estados Unidos (Minnesota), Estados Unidos (Nueva Jersey)",5,Abril-Julio 1997,31 de agosto de 1969,"Jeffrey Trail / David Madson / Lee Miglin, 72 / William Reese, 45 / Gianni Versace, 50"
124,Asesinato,Parricidio - Discusiones y peleas constantes,Condenados a prisión perpetua el 22 de diciembre de 2000,"Buenos Aires, Argentina",1,25 de marzo de 1998,Emanuel - Mismo día / Santiago - 17 días después,Emanuel - 1974 / Santiago - 1975
125,Asesino en serie,Violación - Descuartizamiento - Necrofilia - Canibalismo,Condenado a 957 años de prisión en Wisconsin el 15 de febrero de 1992. Condenado a cadena perpetua en Ohio en mayo de 1992. Asesinado en prisión el 28 de noviembre de 1994,"Varias, Estados Unidos (Ohio), Estados Unidos (Wisconsin)",17,1978 - 1991,22 de julio de 1991,21 de mayo de 1960
126,Asesino en masa,Parricidio,Condenado a 25 años de prisión por cada uno de los asesinatos el 4 de diciembre de 1975,"Amityville, Estados Unidos (Nueva York)",6,13 de noviembre de 1974,14 de noviembre de 1974,26 de septiembre de 1951
127,Asesino,¿«Abuso sexual no violento»?,Condenado a 22 años de prisión el 18 de marzo de 2011,"Huelva, España",1,13 de enero de 2008,25 de marzo de 2008,1964
128,Asesino itinerante,Parricida - Tiroteo en un restaurante - Motivo desconocido,Muerto por la Policía el mismo día. (Algunas fuentes afirman que se suicidó),"Bogotá, Colombia",29,4 de diciembre de 1986,24 de junio de 1934,"Hombres, mujeres y niños"
129,Asesino en serie,Violador - Necrofilia - Era poseedor del cromosoma XYY,Nunca fue juzgado. Internado en un Psiquiátrico Penitenciario. Murió el 2 de febrero de 1998,"Varias, España, Francia, Italia",7 - 48,1964 - 1971,25 de enero de 1943,"Adolfo Folch Muntaner, de 49 años / Margaret Helene Boudrie, de 21 / Venancio Hernández Carrasco, de 71 / Ramón Estrada Saldrich / Anastasia Borrella Moreno, de 68 / Francisco Marín Ramírez, de 24 / Antonia Rodríguez Relinque, de 38"
130,Asesino,Parricidio - Asesinato por encargo,"Fue condenado a cadena perpetua el 5 de diciembre de 1974. Posteriormente fue condenado a cuatro cadenas perpetuas más, las dos últimas en 1988 por conspiración para secuestrar y asesinar a la hija de su antiguo abogado","Mississauga, Ontario, Canadá",1,18 de julio de 1973,17 de agosto de 1973,19 de abril de 1933
131,Asesino en serie,Violador,Murió asesinado en prisión el 25 de noviembre de 1973,"Boston, Estados Unidos (Massachusetts)",13,Junio 1962 - Enero 1964,Noviembre 1964,3 de septiembre de 1931
132,Asesino,"Abrió el vientre de la víctima con un cuchillo, desgarró la cara del feto y le atravesó el corazón",Condenado a reclusión perpetua en enero de 1958. Puesto en libertad en agosto de 1978. Muere el 21 de abril de 2010,"Meurthe-et-Moselle, Francia",1,3 de diciembre de 1956,5 de diciembre de 1956,24 de febrero de 1920
133,Asesino,Motivos económicos,En prisión desde agosto de 2012,"El Pinar, Canelones, Uruguay",3,5 de agosto de 2012,6 de agosto de 2012,"Andrea Beatriz Perrotta Bellomo, de 39 años, y su hijo Renato, de 14 meses; Marta Bellomo Garrido (66)"
134,Asesino en serie,Violador - Evisceración - Mutilación,Ejecutado en el garrote vil el 11 de mayo de 1881,"Álava, España",6,1870 - 1879,21 de septiembre de 1880,9 de julio de 1821
135,Asesino,Pederasta - Secuestrador,Ejecutado en la horca en la Penitenciaría de Walla Walla el 5 de enero de 1993,"Clark, Estados Unidos (Washington)",3,Sep. - Oct. 1989,13 de noviembre de 1989,3 de julio de 1961
136,Asesino,Violador - Robos,"Fue condenado a cadena perpetua el 22 de enero de 1960. Posteriormente, en julio de 1975, obtuvo el permiso penitenciario tras la aparición de una grave enfermedad de la que murió en noviembre de 1976","Londres, Inglaterra, Gran Bretaña",1,19 de diciembre de 1958,24 de noviembre de 1959,12 de diciembre de 1940
137,Homicida,Los patólogos determinaron que la víctima había muerto como consecuencia de drogas. Una «postura asfixiante» pudo haber contribuido al fallo respiratorio,Fue condenado a 12 años de prisión tras ser considerado culpable de homicidio no premeditado,"Norfolk, Inglaterra, Gran Bretaña",1,2 de julio de 1972,Desconocida,"Carole Califano, de 28 años (su amante)"
138,Asesino en serie,Robos,Ejecutado por fusilamiento el 27 de marzo de 1907,"Santiago / Valparaíso, Chile",4,1905 - 1906,2 de junio de 1906,29 de abril de 1967
139,Asesino,Violador,Fue condenado a cadena perpetua en febrero de 1988,"Londres, Inglaterra, Gran Bretaña",2 - 3,1985 - 1986,23 de noviembre de 1986,1956
140,Asesino en serie,Robos - Falsas acusaciones de vampirismo,Fue ejecutado en la guillotina en Montluel el 8 de marzo de 1862,"Montluel, Ródano-Alpes, Francia",6 +,1855 - 1861,3 de junio de 1861,1810
141,Asesino en serie,Violador - Mutilador,Condenado a cadena perpetua el 22 de agosto de 2000. Condenado a una segunda cadena perpetua el 16 de agosto de 2004. Condenado a una tercera cadena perpetua el 17 de agosto de 2007,"Melbourne, Victoria, Australia",3 - 6,1997 - 1999,22 de abril de 1999,6 de julio de 1953
142,Asesino en serie,«Es un enfermo que se excita estrangulando a prostitutas mientras realiza el acto sexual»,Se suicida ahorcándose en su celda de la cárcel alemana de Bayreuth el 2 de julio de 2007,"Varias, Alemania, España, Francia",6 - 19 +,1974 - 2006,17 de noviembre de 2006,1 de julio de 1959
143,Asesino,Parricida,Condenado a cadena perpetua el 26 de junio de 2008,"Plymouth, Estados Unidos (Massachusetts)",2,20 de enero de 2006,9 de febrero de 2006 (Londres),18 de septiembre de 1978
144,Asesino en serie,Discusiones - Celos,En prisión. Sentencia desconocida,"Tegucigalpa, Honduras",3 - 5,2009 - 2010,12 de enero de 2010,1987
145,Asesino en masa,Racismo,Murió abatido por la Policía el 7 de enero de 1973,"Nueva Orleans, Estados Unidos (Luisiana)",9,1 / 7 de enero de 1973,1949,8 hombres y 1 mujer (5 oficiales de policía)
146,Asesino,"Simuló un secuestro, pero asesinó a su víctima el mismo día. No supo que el cadáver ya había sido encontrado al no leer los periódicos",En libertad condicional en agosto de 2000. Detenido nuevamente el 7 de marzo de 2001 por 7 atracos a bancos. Fugado de prisión el 16 de marzo de 2005 aprovechando un permiso penitenciario. Detenido nuevamente el 13 de abril de 2005. Se desconoce su paradero actual,"Sant Quirze del Vallès, España",1,18 de enero de 1989,13 de febrero de 1989,9 de diciembre de 1951
147,Asesino en masa,Venganza,Se suicida en un hotel de Luxemburgo el 18 de mayo de 1999,"Varias, Alemania, Francia",5,15 de mayo de 1999,1963,4 hombres y 1 mujer
148,Asesino,Móvil no aclarado,Fue condenado a 19 años de prisión el 4 de marzo de 2016,"Bilbao, España",1,19 de noviembre de 2014,Mismo día,1951
149,Asesino en masa,Acosador - Obsesionado por una ex compañera de trabajo,Condenado a muerte el 17 de enero de 1992,"Silicon Valley, Estados Unidos (California)",7,16 de febrero de 1988,16 de febrero de 1988,25 de julio de 1948
150,Asesino,Venganza,Condenado a 16 años de prisión en 2004. Condenado a 45 años de prisión el 27 de octubre de 2005,"Salamanca / Zamora, España",2,Feb. / Mar. de 2003,4 de marzo de 2003,1983
151,Asesino en serie,Robos,Fue ejecutado en la silla eléctrica el 8 de marzo de 1951,"Varios países, España, Estados Unidos (Illinois), Estados Unidos (Michigan), Estados Unidos (Nueva York)",5 - 17 +,1947 - 1949,28 de febrero de 1949,17 de diciembre de 1914
152,Asesino en serie,Vampirismo,"Fue declarado inimputable y recluido en una institución psiquiátrica, donde moriría de causas naturales unos años después","Monteros, Tucumán, Argentina",5 - 15,195? - 1960,14 de febrero de 1960,1935
153,Asesino en masa,Pensaba que sus vecinos querían apropiarse de sus tierras,Murió el mismo día calcinado en su casa que él había incendiado,"Chantada, Lugo, España",7,8 de marzo de 1989,1924,"Avelina Moure Soengas, de 67 años / Emilio Ramos Blanco, de 66 / José Lago García, de 59 / Celsa Sanmartín Ledo, de 63 / Aurora Sanmartín Ledo / Maximino Saa Sánchez, de 72 / Amadora Vázquez Pereira, de 43"
154,Asesino en serie,Violador convicto,Condenado a 69 años de prisión el 13 de enero de 2000,"Varias, Castellón, España",5,1995 - 1996,29 de julio de 1998,1963
155,Asesino,Parricida,Condenado a 22 años y seis meses de prisión el 10 de noviembre de 2009,"Catarroja, Valencia, España",2,16 de septiembre de 2007,Día siguiente,1987
156,Asesino,Robo - Fuga,"Ejecutado en la guillotina en la prisión de La Santé, París, el 1 de octubre de 1957","París, Francia",1,24 de febrero de 1954,24 de febrero de 1954,6 de abril de 1930
157,Asesino en serie,Canibalismo - Sadomasoquismo,Ejecutado en la silla eléctrica el 16 de enero de 1936,"Varios lugares, Estados Unidos (Nueva York)",3 - 10 +,1910 - 1934,13 de diciembre de 1934,1870
158,Asesino,Mató a dos periodistas mientras estaban en directo en TV. Sostenía haberse sentido víctima de racismo y maltrato por su condición de homosexual y negro,Se suicida disparándose en la cabeza el mismo día,"Moneta, Estados Unidos (Virginia)",2,26 de agosto de 2015,8 de octubre de 1973,"La periodista Alison Parker, de 24 años, y el reportero gráfico Adam Ward, de 27"
159,Asesino en masa,Bajo los efectos del alcohol y las drogas,Muerto a balazos por efectivos de las policías Investigadora Ministerial y Federal Preventiva (PFP),"San Jerónimo, México",10,31 de julio de 2005,1982,Su sobrino de 10 meses de edad Humberto Flores Ruiz / Omar García Cruz / Ricardo Jiménez Arellano / Yolanda Valdeolivar Carranza / María del Rocío Reyes Gaspar / Juan Antelmo García Gaspar / Roberto Vallejo / Leonardo Navarrete Saligán / Jesús Michel Rosales Ríos / Manuel González del Río
160,Asesino en serie,Ladrón de joyas,Condenado a cadena perpetua en 1978. Murió en prisión el 1 de noviembre de 2002,"Varios lugares, Gran Bretaña",5,1977 - 1978,16 de enero de 1978,17 de julio de 1924
161,Asesino en serie,Secuestro - Violación,Condenado a cadena perpetua el 28 de mayo de 2008,"Varias, Bélgica, Francia",7 +,1987 - 2001,27 de junio de 2003,4 de abril de 1942
162,Asesino,Parricidio - Para cobrar el seguro,Fue ejecutado en la horca en la prisión de Maidstone el 8 de abril de 1930,"Margate, Inglaterra, Gran Bretaña",1,23 de octubre de 1929,3 de noviembre de 1929,1898
163,Homicida,Menor de edad (16 años) - Su caso es notable por ser el primer incidente conocido de un fallo de ejecución de electrocución en los Estados Unidos,Intento fallido de ejecución por electrocución el 3 de mayo de 1946. Ejecutado por electrocución el 9 de mayo de 1947,"St. Martinville, Estados Unidos (Luisiana)",1,Diciembre de 1944,Agosto de 1945,12 de enero de 1929
164,Asesino,Violador,Condenado a 44 años de prisión el 27 de enero de 1993. Puesto en libertad el 3 de abril de 2012. Condenado a 10 años de prisión el 30 de octubre de 2013,"Huelva, España",1,16 de febrero de 1991,27 de abril de 1991,13 de agosto de 1964
165,Asesino en serie,Supremacista blanco,Ejecutado por inyección letal en Missouri el 20 de noviembre de 2013,"Varias, Estados Unidos (Georgia), Estados Unidos (Indiana), Estados Unidos (Missouri), Estados Unidos (Ohio), Estados Unidos (Pensilvania), Estados Unidos (Tennessee), Estados Unidos (Utah), Estados Unidos (Virginia Occidental), Estados Unidos (Virginia), Estados Unidos (Wisconsin)",11 - 22 +,1977 - 1980,28 de octubre de 1980,13 de abril de 1950
166,Asesino,Parricida - Enterró el cadáver de su mujer debajo de la cama de matrimonio,Condenado a cadena perpetua el 26 de noviembre de 2007,"González Catán, Argentina",1,1 de marzo de 1998,22 de marzo de 2005,1963
167,Asesino,Necrofilia - Robo,Fue condenado a cadena perpetua en 1972,"Londres, Inglaterra, Gran Bretaña",1,2 de julio de 1972,1947,"Sarah Gibson, de 21 años"
168,Asesino en serie,Violador,Fue ejecutado por inyección letal el 10 de mayo de 1994,"Chicago, Estados Unidos (Illinois)",33,1972 - 1978,21 de diciembre de 1978,17 de marzo de 1942
169,Asesino en serie,Elegía a sus víctimas al azar y dejaba una carta de una baraja junto a los cadáveres,Condenado a 142 años y tres meses de prisión el 9 de marzo de 2005,"Madrid, España",6,Enero - Marzo 2003,3 de julio de 2003,5 de abril de 1978
170,Asesino,Maltratador - Mató a tiros al hijo de su novia y la hirió a ella,Condenado a 39 años de prisión el 12 de marzo de 2008,"Albacete, España",1,12 de mayo de 2006,Dos días después,1970
171,Asesino,El cura que mató por «honor» al primer Obispo de Madrid,"condenado a muerte el 9 de octubre de 1889 por el Tribunal, sentencia que confirmó el Supremo pero que se sustituyó por su ingreso en un centro para enfermos mentales de Leganés, donde falleció el 3 de abril de 1922","Madrid, España",1,18 de abril de 1886,Mismo día,1839
172,Homicida,Fratricidio - Descuartizamiento - Ocultó los restos en la nevera de casa y en un arcón congelador,Condenado a 10 años de prisión el 12 de junio de 2014,"Palma de Mallorca, España",1,11 de septiembre de 2013,30 de septiembre de 2013 (se entrega),1975
173,Asesino en serie,Violador,Fue condenado a muerte en Nevada y California. Murió de cáncer el 18 de julio de 2002 en el centro médico del penitenciario de Nevada,"Varios lugares, Estados Unidos (California), Estados Unidos (Nevada), Estados Unidos (Oregón)",10,1978 - 1980,17 de noviembre de 1980,17 de julio de 1946
174,Asesino,Violador en serie (18),Condenado a 328 años de prisión por 2 asesinatos y 18 violaciones. Puesto en libertad el 14 de noviembre de 2013,"Burgos / Valladolid, España",2,Ene. / Jul. 1992,17 de noviembre de 1992,13 de noviembre de 1957
175,Asesino en serie,Pederasta,Condenado a cadena perpetua el 27 de mayo de 2000,"Varias, Colombia, Ecuador",172,1992 - 1999,28 de octubre de 1999,25 de enero de 1957
176,Asesino,"«Tres delitos de homicidio muy especialmente agravados: uno por precio o promesa remuneratoria, otro para procurarse la impunidad y otro con impulso de brutal ferocidad»",En la cárcel - La pena máxima prevista por el Código Penal de Uruguay para esta tipología de casos es de 30 años de prisión,"Maldonado, Uruguay",3,Abril - Junio 2015,15 de junio de 2015,"Alejandro Von Graevenitz, de 58 años; Koni Daian Silva (19); Claudia Von Graevenitz (56)"
177,Asesino en serie,Alcoholismo - Zoofilia - Necrofilia - Mutilación,Absuelto por enajenación mental el 1 de marzo de 1996. Murió en el psiquiátrico penitenciario de Fontcalent el 19 de agosto de 2014,"Madrid, España",11,1987 - 1994,24 de mayo de 1948,Arma blanca (acuchillamiento) - Golpes en la cabeza con una piedra
178,Homicida,Necrofilia,Murió el 26 de junio de 1984 en el Instituto de Salud Mental de Mendota,"Plainfield, Estados Unidos (Wisconsin)",2 +,1954 / 1957,17 de noviembre de 1957,27 de agosto de 1906
179,Asesino,Envenenador - «Barbazul»,Se suicida antes de ser detenido (1947),"Lancashire, Inglaterra, Gran Bretaña",1 - 4,1920 - 1947,1890,Mujeres (sus esposas)
180,Asesino,Impostor alemán famoso por hacerse pasar por un miembro de la familia Rockefeller,Condenado de 27 años de prisión a cadena perpetua el 15 de agosto de 2013,"San Marino, Estados Unidos (California)",1 +,13 de febrero de 1985,2 de agosto de 2008,21 de febrero de 1961
181,Asesino en serie,Robos,Condenado a 20 años de prisión el 22 de agosto de 2002. Condenado a reclusión perpetua en abril de 2010. Puesto en libertad en diciembre de 2015,"Varios lugares, Argentina",4 - 8,1996 - 2008,1970,Fabián Brain y Fernando Diácono / Marta Pérez y Enrique Echaverría / Hernán y Leonardo Pecastaing / el recluso Víctor Sotelo Gavilán / Sergio Conti
182,Asesino,Robos,Fue ejecutado por fusilamiento el 17 de enero de 1977,"Salt Lake, Estados Unidos (Utah)",2,19 / 20 de julio de 1976,21 de julio de 1976,4 de diciembre de 1940
183,Asesino en serie,Violador - Tendencias sexuales sadomasoquistas,Fue ejecutado en la cámara de gas el 18 de septiembre de 1959,"Varias, Estados Unidos (California)",3,1957 - 1958,27 de octubre de 1958,10 de octubre de 1927
184,Asesino,Homofobia,Condenado a cadena perpetua en diciembre de 1999,"Fort Campbell, Estados Unidos (Kentucky)",1,5 de julio de 1999,5 de julio de 1999,1980
185,Asesino en masa,Para vengarse de sus compañeros de universidad,Declarado mentalmente incapaz para comparecer ante un tribunal el 7 de enero de 2013. Internado en el Hospital Estatal de Napa,"Oakland, Estados Unidos (California)",7,2 de abril de 2012,Mismo día (se entrega),18 de noviembre de 1968
186,Asesino en serie,Afirmó que mató de rabia debido a los abusos sexuales que había sufrido cuando era un niño y al acoso escolar,En prisión tras haber sido juzgado por varios asesinatos,"Goiânia, Goiás, Brasil",16 - 39 +,2011 - 2014,14 de octubre de 2014,1988
187,Asesino en serie,Móvil desconocido - Goncálvez siempre ha mantenido su inocencia,Condenado a 30 años de prisión el 9 de febrero de 1996. Fue puesto en libertad el 23 de junio de 2016,"Carrasco, Montevideo, Uruguay",3,1992 - 1993,20 de febrero de 1993,6 de marzo de 1970
188,Asesino en masa,Celos - Cubano despechado con su novia incendia discoteca,Condenado a 174 sentencias de 25 años de prisión (un total de 4.350 años) el 19 de septiembre de 1991,"Nueva York, Estados Unidos (Nueva York)",87,25 de marzo de 1990,Día siguiente,10 de octubre de 1954
189,Asesino en masa,"Parricida - Mató a su mujer inválida, y a los tres hijos que vivían en la casa, María Rosa, deficiente mental, y Dionisio y Marcial, adictos a la heroína",Se suicida el mismo día disparándose un tiro en la boca,"Zorita, Cáceres, España",4,21 de noviembre de 1990,1931,"Su mujer, Amelia Serrano Chamorro, de 58 años; y sus hijos Dionisio, de 23; Marcial, de 25, y María, de 31"
190,Asesino,Robos,Fue condenado a cadena perpetua el 12 de abril de 1967. Obtuvo la libertad condicional el 23 de marzo de 2006,"Buenos Aires, Argentina",3,1963,30 de marzo de 1963,11 de noviembre de 1937
191,"Homicida, Parricida","Asesinó a su novia embarazada, María José Vidal Díaz, de 17 años, y al hijo nonato de ambos porque ella se negó a abortar","El 8 de enero de 1987, la Audiencia Provincial de Lugo condenó a Antonio López González a una pena de 15 años de reclusión menor por el delito de homicidio. Antonio González recurrió la sentencia al Tribunal Supremo, y el 21 de diciembre de 1987 la sala segunda de dicho alto organismo aumentó su condena a 26 años de prisión mayor","Campo de Vila, Quiroga, Lugo, España",2,21 de julio de 1985,24 de julio de 1985,1966
192,Homicida,Esquizofrenia - Drogas - Afirmaba que unos seres demoníacos lo obligaban a cometer los crímenes,Internado en varios centros psiquiátricos - Murió por envenenamiento tras ser tratado en el Hospital Universitario de Maturín en enero de 2010,"Caracas / Miranda, Venezuela",2,1991 / 17 de junio de 2007,1991 / 18 de junio de 2007,"Christine Cora Spamer Boces; José de la Caridad González Caso, de 83 años"
193,Parridicio,"Parricidio - Mató a su exesposa en el bar El Puente de La Coruña delante de sus clientes, que no hicieron nada por impedirlo","El 7 de noviembre de 1983, la Audiencia Provincial de la Coruña condenó a Roberto Goyanes Fernández como autor de un delito de parricidio consumado y de otro de homicidio en grado de tentativa a la pena de veintinueve años de reclusión mayor, así como a una indemnización de 4 millones de pesetas a sus hijos, además de suspensión de todo cargo público durante el tiempo de condena, derecho de sufragio, etc., junto con el pago de las costas procesales","A Coruña, España",1,1 de diciembre de 1982,1 de diciembre de 1982,1941
194,Asesino,Intereses económicos,Fue ejecutado en la silla eléctrica el 12 de enero de 1928,"Queens, Estados Unidos (Nueva York)",1,20 de marzo de 1927,20 de marzo de 1927,8 de julio de 1892
195,Asesino,¿Envenenador?,Fue absuelto en 1920. Murió el 17 de enero de 1929,"Kidwelly, Gales, Gran Bretaña",¿1?,16 de junio de 1919,17 de junio de 1920,1874
196,Asesino en serie,Descuartizamiento,Se declara culpable. Condenado a cadena perpetua el 21 de diciembre de 2010,"Bradford, Inglaterra, Gran Bretaña",3,2009 - 2010,24 de mayo de 2010,24 de diciembre de 1969
197,Asesino en serie,Asesinó a sus 5 hijos recién nacidos que tuvo como fruto de las violaciones a las que sometía a sus dos hijastras,Ejecutado por fusilamiento el 6 de abril de 1900,"Buenos Aires, Argentina",5,1894 - 1898,10 de mayo de 1898,????
198,Asesino en serie,Convertía a sus víctimas en perritos calientes humanos para venderlos en la estación de ferrocarril,Fue condenado a muerte. Se suicidó ahorcándose en su celda el 5 de julio de 1922,"Berlín, Alemania",26 - 50 +,1913 - 1921,21 de agosto de 1921,13 de diciembre de 1863
199,Asesino en serie,Misoginia - Violador,Condenado a pena a muerte en 1888. Conmutada por 20 años de prisión. Indultado y puesto en libertad en 1904. Condenado a pena de muerte en 1908. Fallece en 1910.,"México, D. F., México",18,1880 - 1888 / 1908,13 de junio de 1908,1840
200,Asesino en serie,Violador,Condenado a cadena perpetua en 1997,"Lima y Parcona, Perú",13,1995 - 1996,4 de septiembre de 1996,1971
201,Asesino en serie,Canibalismo,Ejecutado por decapitación el 15 de abril de 1925,"Hannover, Alemania",27 +,1918 - 1924,23 de junio de 1924,25 de octubre de 1879
202,Asesino en serie,Robos - Afirmaba que bebía un vaso con la sangre de sus víctimas,Fue ejecutado en la horca el 10 de agosto de 1949,"Londres, Inglaterra, Gran Bretaña",6,1944 - 1949,26 de febrero de 1949,24 de julio de 1909
203,Asesino,Violador,Ejecutado en la horca en Bedford Gaol el 4 de abril de 1962,"Deadman's Hill, Gran Bretaña",1,23 de agosto de 1961,11 de octubre de 1961,4 de octubre de 1936
204,Asesino en serie,"Violador - Contrataba los servicios de prostitutas y las llevaba en su avioneta a una remota cabaña en el bosque. Tras violarlas, las liberaba, esperaba un tiempo, y les daba caza como si fueran animales",Condenado a cadena perpetua más 461 años el 28 de febrero de 1984. Muere en prisión el 21 de agosto de 2014,"Anchorage, Estados Unidos (Alaska)",17 - 21,1973 - 1983,27 de octubre de 1983,15 de febrero de 1939
205,Asesino en serie,Vendía los cadáveres de sus víctimas con el objetivo de proporcionar material para disecciones,Las autoridades le concedieron inmunidad judicial si confesaba y accedió a testificar contra Burke. Algunas historias cuentan que varias personas le vieron como un mendigo ciego en las calles de Londres y que fue asaltado y arrojado a un pozo de cal. La fecha de la muerte es incierta,"Edimburgo, Escocia, Gran Bretaña",17,1827 - 1828,1 de noviembre de 1828,1792 ó 1804
